"Home","ホーム"
"Sign In","サインイン"
"Sign Up","サインアップ"
"Sign Out","サインアウト"
"Members","メンバー"
"News","ニュース"
"Publications","発表"
"Photos","写真"
"Blog","ブログ"
"Resource","リソース"
"Features","特色"
"Documentation","ドキュメンテーション"
"Stuff for developers","開発者のためのもの"
"Source","ソースコード"
"API","API"
"About","案内"
"Team","チーム"
"Experiment","実験"
"Profile","個人データ"
"Save","保存する"
"Bulletin","お知らせ"
"CHEC Internal Dashboard","CHEC ダッシュボード"
"Blog List","ブログ一覧"
"Available Resource","利用可能なリソース"
"Professor","教授"
"Associate Professor","准教授"
"Visiting Professor","訪問学者"
"Assistant Professor","助教授"
