"Home","主页"
"Sign In","登录"
"Sign Up","注册"
"Sign Out","登出"
"Members","成员"
"News","新闻"
"Publications","发表"
"Photos","照片"
"Blog","博客"
"Resource","资源"
"Features","特性"
"Documentation","文档"
"Stuff for developers","开发者工具"
"Source","源代码"
"API","应用程序接口"
"About","关于"
"Team","团队"
"Experiment","实验"
"Profile","个人资料"
"Save","保存"
"Bulletin","公告"
"CHEC Internal Dashboard","CHEC 仪表盘"
"Blog List","博客列表"
"Available Resource","可用资源"
"Professor","教授"
"Associate Professor","副教授"
"Visiting Professor","访问学者"
"Assistant Professor","助理教授"
